TimeStamp,Business Type,Product Managed,Product Categories,Current Ops Method,Why Current method?,Most stressful part of operations,Platforms used to receive orders,Main problem with current order system,Review Frequency,Needed sales or customer insights ,Digital Invoice Importance,Stock Monitoring Method,Unaware Stock out? ,Stockout Loss Count ,Stock Impact,Track Expiry/Reorder,Improvement Needed,Pricing Confidence,Track Profit/Item? ,Fulfillment Bottlenecks?,Bottleneck Example,Mobile Tools Likelihood?,Desired Features,Multi channel Sales,Need Sync System,Tech Savy Level,Want video tutorials or onboarding help? ,6 months goals,Location,Unmet Needs
2025/07/28 12:50:29 pm CET,"Food & Beverage (e.g., restaurant, catering, packaged goods)",Less than 50,No Product,A mix of digital and manual methods,Not Stated,Keeping accurate sales and expense records;Understanding my profit margins;Delivering products to customers efficiently,Phone Calls / SMS;WhatsApp or Social Media DMs,None,Monthly,Top-selling products;Profit per product;Staff performance/sales tracking,Critical for my brand and trust,Excel or spreadsheet,Yes,3-5 times,Customer Loss/Dissatisfaction,Yes -always,"Record of each product, and not to buy too much or what will expire soon ",Very confident,Yes,"No, my process works well",None,Very likely,Sales performance dashboard;Stock level & expiry tracking;Expense tracking,"No, I sell in just one location",No,I need help learning new tools,Yes,Increase revenue,Ibadan ,None
2025/07/28 12:52:02 pm CET,Jewelry ,Less than 50,No Product,I dont have a formal system,Other,Managing my time and tasks,Walk-in customers with physical receipts,Not having enough income for my business ,Daily,Top-selling products,Moderately important,Physical count by sight,No,None,Vague Negative Impact,Yes -always,More money ,Very confident,Yes,"No, my process works well",None,Not likely,Sales performance dashboard,"No, I sell in just one location",No,Very confident with digital tools,No,Get more customers;Manage things more easily;Expand to new channels or locations,Delta ,None
2025/07/28 12:54:11 pm CET,"Online-only (E-commerce via Instagram, Jumia, own site, etc.)",51- 200,No Product,A mix of digital and manual methods,Not Stated,Running out of products unexpectedly;Understanding my profit margins;Delivering products to customers efficiently,Phone Calls / SMS;WhatsApp or Social Media DMs;Walk-in customers with physical receipts,None,Weekly,Top-selling products;Slow-moving or dead stock;Repeat customer rate,Very important,Notebook or manual list,Yes,3-5 times,Negative Financial,"No, but I need a system",An app,Not confident,Yes,"No, my process works well",None,Very likely,"Sales performance dashboard;Quick invoice & quote generation;Automatic customer follow-up messages;Delivery management & notifications;Expense tracking;Integration with WhatsApp, Instagram, etc.","Yes, I sell online and in-store",Yes,I need help learning new tools,Yes,Increase revenue;Get more customers,Delta ,None
2025/07/28 1:34:11 pm CET,Manufacturing/Production,Less than 50,Food & Beverages,I dont have a formal system,Not Stated,Keeping accurate sales and expense records;Managing my time and tasks;Understanding my profit margins,Phone Calls / SMS;Walk-in customers with physical receipts,None,Daily,Sales by time of day or week;Profit per product,Slightly important,Physical count by sight,No,None,Positive/Mitigating Aspect,Not applicable to my business,It is not applicable to my business,Somewhat confident,No,"No, my process works well",None,Not likely,"Sales performance dashboard;Profitability tracking;Expense tracking;Integration with WhatsApp, Instagram, etc.","Yes, I sell online and in-store",Yes,I need help learning new tools,Yes,Increase revenue;Get more customers;Manage things more easily;Expand to new channels or locations,Anambra,None
2025/07/28 1:42:25 pm CET,"Online-only (E-commerce via Instagram, Jumia, own site, etc.)",Less than 50,Beauty & Personal Care,I write everything in a notebook,Tracking & Monitoring,Keeping accurate sales and expense records,Phone Calls / SMS,Delivery ,Monthly,Customer lifetime value,Very important,Physical count by sight,Yes,Frequently - More than 5 times,Negative Financial,Not applicable to my business,Having enough capital ,Very confident,Yes,"No, my process works well",None,Maybe,Sales performance dashboard,"No, I sell in just one location",Yes,Very confident with digital tools,No,Get more customers,Asaba ,None
2025/07/28 1:44:31 pm CET,"Online-only (E-commerce via Instagram, Jumia, own site, etc.)",Less than 50,Fashion Accessories & Beauty,I write everything in a notebook,Ease & Simplicity,Running out of products unexpectedly;Miscommunication with customers or delayed orders;Finding reliable suppliers,WhatsApp or Social Media DMs,Low sales,Weekly,Top-selling products;Expenses vs Revenue summary,Very important,Supplier manages it for me,No,3-5 times,Uncategorized,Yes -always,Getting a good supplier and selling out,Very confident,Yes,"No, my process works well",None,Definitely - I need this now,"Automatic customer follow-up messages;Profitability tracking;Integration with WhatsApp, Instagram, etc.","Yes, I sell online and in-store",No,Comfortable with some apps,Maybe,Increase revenue;Get more customers;Expand to new channels or locations,Anambra ,None
2025/07/28 1:49:29 pm CET,Manufacturing/Production,Less than 50,Food & Beverages,I write everything in a notebook,Effectiveness & Detail,Keeping accurate sales and expense records,Phone Calls / SMS,None,Weekly,Top-selling products,Very important,Notebook or manual list,No,None,Customer Loss/Dissatisfaction,"I try, but not consistently",Usage of FIFO,Very confident,No,"No, my process works well",None,Very likely,Sales performance dashboard;Stock level & expiry tracking;Profitability tracking;Expense tracking,"Yes, I sell online and in-store",Maybe,Comfortable with some apps,Yes,Train my staff,Delta,None
2025/07/28 1:52:08 pm CET,Engineering ,More than 500,Home & Lifestyle,A mix of digital and manual methods,Understanding & Familiarity,Running out of products unexpectedly,Phone Calls / SMS;WhatsApp or Social Media DMs,No issues,Weekly,Top-selling products;Profit per product;Customer lifetime value,Very important,Notebook or manual list,Maybe,3-5 times,Uncategorized,Yes -always,Good supplies,Very confident,Yes,"No, my process works well",It was a good delivery ,Very likely,Sales performance dashboard;Quick invoice & quote generation;Automatic customer follow-up messages,"Yes, I have 2 or more branches",Yes,Very confident with digital tools,Yes,Increase revenue;Reduce waste/losses;Manage things more easily;Expand to new channels or locations,Benin ,None
2025/07/28 1:59:01 pm CET,"Retail- Physical store (e.g., clothing, electronics);Wholesale/Distribution",51- 200,No Product,I write everything in a notebook,Other,Keeping accurate sales and expense records;Running out of products unexpectedly;Miscommunication with customers or delayed orders;Finding reliable suppliers,Phone Calls / SMS;WhatsApp or Social Media DMs;Walk-in customers with physical receipts,None,Monthly;Occasionally,Top-selling products;Slow-moving or dead stock;Profit per product,Slightly important,Notebook or manual list,No,1-2 times,Customer Loss/Dissatisfaction,"I try, but not consistently",More staff and capital ,Somewhat confident,Yes,"Yes, delivery takes too long",None,Likely,"Sales performance dashboard;Stock level & expiry tracking;Quick invoice & quote generation;Automatic customer follow-up messages;Profitability tracking;Delivery management & notifications;Staff management;Expense tracking;Barcode/QR scan with phone camera;Integration with WhatsApp, Instagram, etc.;Custom reminders or daily summary","Yes, I sell online and in-store",Yes,Very confident with digital tools,Yes,Increase revenue;Get more customers;Expand to new channels or locations,Anambra,None
2025/07/28 2:03:24 pm CET,"Agriculture (e.g., farm produce, processing, storage)",Less than 50,Raw Materials,I write everything in a notebook,Understanding & Familiarity,Keeping accurate sales and expense records,Phone Calls / SMS;Walk-in customers with physical receipts,What prices to sell my products cause prices of items keeps changing regularly and to meet up you’ve to adjust with the new price system ,Weekly,Expenses vs Revenue summary,Critical for my brand and trust,Notebook or manual list,Maybe,Frequently - More than 5 times,Positive/Mitigating Aspect,Yes -always,I think an app that can help you monitor everything in one space ,Somewhat confident,Yes,"No, my process works well",None,Very likely,Sales performance dashboard;Stock level & expiry tracking;Expense tracking,"Yes, I sell online and in-store",Yes,Very confident with digital tools,Yes,Increase revenue;Reduce waste/losses;Get more customers;Expand to new channels or locations,Lagos,None
